utterance,name,h,m,s
"Right. But roughly, if you had a just gut instinct.",Joe Rogan,00, 36,40
"Well, I don’t have a Neuralink in my brain, so I’d say right now 0%, but at the point at which you do have a Neuralink, then it rises above 0%.",Elon Musk,00, 36,49
"The idea that we’re experiencing some sort of a preserved memory is, even though it’s still the same, it’s not comforting. Right? For some reason when people talk about simulation theory, they talk about the potential for this currently being a simulation. Even though your life might be wonderful, you might be in love, you might love your career, you might have great friends, but it’s not comforting to know that this experience somehow or another doesn’t exist in a material form that you can knock on.",Joe Rogan,00, 36,59
It feels real doesn’t it?,Elon Musk,00, 37,34
"It feels real. But the idea that it’s not, for some strange reason, disconcerting.",Joe Rogan,00, 37,37
"Yeah. I’m sure, it should be disconcerting because if this is not real, what is? But, there’s that old sort of thought experiment of like, how do you know you’re not a brain in a vent? I mean now here’s the thing. You are a brain in a vent, then that vat is your skull.",Elon Musk,00, 37,45
Yes.,Joe Rogan,00, 38,04
"Everything you see, feel, hear, everything, all your senses are electrical signals, everything. Everything is an electrical signal to a brain in a vent with a vat as our skull.",Elon Musk,00, 38,05
"All your hormones, all your neuro-transmitters, all these things are drugs. Adrenaline’s a drug. Dopamine is a drug. You’re a drug factory. You’re constantly changing your state with love and oxytocin and beauty.",Joe Rogan,00, 38,20
Sure.,Elon Musk,00, 38,35
Changes your state. Great music changes your state.,Joe Rogan,00, 38,36
"Absolutely. Yet, here’s another sort of interesting idea, which is, because you say like where did consciousness arise? Well, assuming you believe the belief in physics, which proves to be true, then the universe started off as basically quarks and leptons and it quickly became hydrogen and helium, lithium, basically elements of the periodic table. But it was mostly hydrogen basically. Then over a long period of time, 13.8 billion years later that hydrogen became sentient. What’s the line of consciousness and not consciousness between hydrogen and here?",Elon Musk,00, 38,38
"When do we call it, when do we call it consciousness? I was watching a video today that we played on a podcast earlier of a monkey riding a motorcycle down the street, jumps off the motorcycle and tries to steal a baby.",Joe Rogan,00, 39,34
Yeah. I saw that one. It went viral.,Elon Musk,00, 39,45
Is that monkey conscious? It seems like it is. It seems like it had a plan. It was riding a fucking motorcycle and then jumped off the motorcycle to try to steal a baby.,Joe Rogan,00, 39,47
The one that just dragged the baby down the street pretty far?,Elon Musk,00, 39,58
"Yeah. It seems pretty conscious, right?",Joe Rogan,00, 40,01
There’s definitely some degree of consciousness there.,Elon Musk,00, 40,05
"Yeah. It’s not like a worm. It seems to be on another level. Yeah, and it’s going to keep going. That’s the real concern when people think about the potential future versions of human beings, especially when you consider symbiotic relationship to artificial intelligence, that will be unrecognizable.",Joe Rogan,00, 40,08
"That one day will be so far removed from what this is. We’ll look back on this, the way we look back now on simple organisms that we evolved from. That it won’t be that far in the future that we do have this view back.",Joe Rogan,00, 40,29
"Well, I hope consciousness propagates into the future and it gets more sophisticated and complex and that it understands the questions to ask about the universe.",Elon Musk,00, 40,47
"Do you think that’s the case? As a human being, as yourself, you’re clearly trying to make conscious decisions to be a better version of you. This is the idea of like getting rid of your possessions and realizing that you’re trying to like, “I don’t like this. I will try to improve this. I would try to do a better version of the way I interface with reality.” That this is always the way things are, if you’re moving in some sort of a direction where you’re trying to improve things, you’re always going to move into this new place where you look back on the old place and go, “I was doing it wrong back then.” So this is an accelerated version of that. A super accelerated version of that.",Joe Rogan,00, 40,58
"I mean, you don’t always improve, but you can aspire to improve or you can aspire to be less wrong.",Elon Musk,00, 41,41
Yeah.,Joe Rogan,00, 41,46
"This is like, I think the tools of physics are very powerful. Just assume you’re wrong and your goal is to be less wrong. I don’t think you’re going to succeed every day in being less wrong, but if you’re going to succeed in being less wrong, most of the time you’re doing great.",Elon Musk,00, 41,47
"That’s a great way of putting it. Aspire to be less wrong. But then when people look back in nostalgia about simpler times, there’s that too. It’s very romantic and exciting to look back on campfires.",Joe Rogan,00, 42,04
You can still have a campfire.,Elon Musk,00, 42,18
Yes. But will you appreciate it when you’re a super nerd? When you connect it to the grid and you have some skull cap in place of the top of your head and it’s interfacing with the international language that the rest of the universe now enjoys communication with people?,Joe Rogan,00, 42,19
Yeah. Sure. I think so. Yeah. I like campfires.,Elon Musk,00, 42,37
"I’m just worried. I mean, everyone’s always scared of change, but I’m scared of this monumental change where we won’t talk anymore. I mean that thing that you [crosstalk 00:42:53].",Joe Rogan,00, 42,43
We’ll communicate.,Elon Musk,00, 42,55
"Yes, but there’s something about the beauty of the crudeness of language where when it’s done eloquently, it’s satisfying and it hits us in some sort of a visceral way. Like, ah, that person nailed it. I love that they nailed it. That it’s so hard to capture a real thought and convey it in a way, in this articulate way. You read a quote, a great quote by a wise person. It makes you excited that their mind figured something out, put the words together in a right way that makes your brain pop like, “Oh yes. Yes.”",Joe Rogan,00, 42,55
It’s clever compression of a concept and a feeling.,Elon Musk,00, 43,32
But the fact that a human did it too.,Joe Rogan,00, 43,36
"Yeah, absolutely.",Elon Musk,00, 43,38
Do you think that it will be like electronic music? Like people won’t appreciate it like they appreciate a slide guitar?,Joe Rogan,00, 43,39
I like electronic music.,Elon Musk,00, 43,47
I do too. Well you make it. I know you like it.,Joe Rogan,00, 43,48
Sure.,Elon Musk,00, 43,51
"Yeah, yeah, yeah.",Joe Rogan,00, 43,51
"Yeah, I mean I hope the future is more fun and interesting and we’re just trying to make it that way.",Elon Musk,00, 43,55
I hope it’s more fun and interesting too.,Joe Rogan,00, 44,01
Yeah.,Elon Musk,00, 44,02
I just hope we don’t lose anything along the way.,Joe Rogan,00, 44,03
"We might lose a little, but hopefully we gain more than lose.",Elon Musk,00, 44,06
"Yeah. That’s the thing, right? Gaining more than we lose. Something that makes us interesting is that we’re so flawed.",Joe Rogan,00, 44,11
"It’s not for sure. Yeah. I mean you look at civilization through the ages, most of them they rose and fell.",Elon Musk,00, 44,16
Yeah.,Joe Rogan,00, 44,25
"I do think the globalization that we have, sort of like the meme sphere, is there’s not enough isolation between countries or regions. It’s like if you get, if there’s a mind virus that that mind virus can infect too much of the world. I actually sort of sympathize with the anti-globalization people, because it’s like, man, we don’t ever want everywhere to be the same for sure. Then we need some kind of mind viral immunity. So that’s a bit concerning.",Elon Musk,00, 44,28
"Mind viral immunity, meaning that once something like Neuralink gets established, the real concern is something that, I mean you said it’s Bluetooth, right? Or some future version of that. The idea is that something could possibly get into it, fuck it up.",Joe Rogan,00, 45,11
"No, I’m talking about like somebody, some cockeyed concept that happens right now.",Elon Musk,00, 45,27
"Well I know this virus is in embedded chips, right? They’ve embedded chips and then acquired viruses.",Joe Rogan,00, 45,39
"Well, when I’m talking about a mind virus, I’m talking about a concept that infects people’s minds.",Elon Musk,00, 45,46
"Oh, okay. Okay. Like cult thinking or some sort of fundamentalism.",Joe Rogan,00, 45,51
Yeah. It’s just wrongheaded idea that goes viral in an idea sense.,Elon Musk,00, 45,59
"Well that is a problem too, right? If someone can manipulate that technology to make something appear logical or rational.",Joe Rogan,00, 46,08
Yeah. Yeah.,Elon Musk,00, 46,16
"Would that be an issue too, this is a very have versus have not issue. If this really does, I mean initially it’s going to help people with injuries, but you said ultimately it could lead to this spectacular cognitive change.",Joe Rogan,00, 46,18
Yes.,Elon Musk,00, 46,35
But the people that first get it should have a massive advantage over people that don’t have it yet.,Joe Rogan,00, 46,36
"Well, I mean it’s the kind of thing where your productivity would improve, I don’t know, dramatically, maybe by a factor of 10 with it. So you could definitely just, I don’t know, take out a loan and do it and earn the money back real fast. Be super smart.",Elon Musk,00, 46,43
"Well in a capitalist society, it seems like you could really get so far ahead that before everybody else could afford this thing and link up and get connected as well. You’d be so far ahead, they can never catch you. Is that a concern?",Joe Rogan,00, 47,02
"Well, it’s not a super huge concern. I mean there are huge differences in cognitive ability and resources already. You can think of a corporation as like a cybernetic collective that’s far smarter than an individual. I couldn’t personally build a whole rocket and the engines and launch it and everything. That’s impossible.",Elon Musk,00, 47,19
"But we have 8,000 people at SpaceX and you’re piecing it out to different people and using computers and machines and stuff. We can make lots of rockets launch into orbit, dock with the space station and that kind of thing. So that already exists where those corporations are vastly more capable than an individual. But we should be, I think less concerned about relative capabilities between people and more like having AI be vastly beyond us and decoupled from human will.",Elon Musk,00, 47,44
"Decoupled from human. So this is the, if you can’t beat them, join them?",Joe Rogan,00, 48,38
Yeah.,Elon Musk,00, 48,43
"So you feel like it’s inevitable, AI, essentially AI is essentially inevitable.",Joe Rogan,00, 48,44
"Super sentient to AI. Yeah, like beyond a level that’s difficult to understand and impossible to understand probably.",Elon Musk,00, 48,49
"Somehow or another, so it’s almost like it’s a requirement for survival to achieve some sort of symbiotic existence with AI.",Joe Rogan,00, 48,59
"It’s not a requirement. It’s just if you want to be along for the ride then you need to do some kind of symbiosis. So the way your brain works right now, you’ve got kind of like the animal brain, reptile brain, kind of like the lymphic system basically. You’ve got the cortex. Now the brain purist will argue with this definition, but essentially you’ve got the primitive brain and you’ve got the sort of smart brain or the brain that’s capable of planning and understanding concepts and difficult things that a monkey can’t understand.",Elon Musk,00, 49,13
"Now your cortex is much, much smarter than your lymphic system. Nonetheless, they work together well. So I haven’t met anyone who wants to delete their lymphic system or their cortex. People are quite happy having both. So you can think of this as being like the computer, the AI is like a third layer, a tertiary layer. So that could be symbiotic with the cortex. It’d be much smarter than the cortex, but you essentially have three layers and you actually have that right now.",Elon Musk,00, 49,58
"Your phone is capable of things and your computer is capable of things that your brain is definitely not. Storing terabytes of information perfectly, doing incredible calculations that we couldn’t even come close to doing. You have that with your computer. It’s just like I said, the data rate is slow, the connection is weak.",Elon Musk,00, 50,33
"Why is it so disconcerting or why does it not give me comfort to think about? Like when I think about a symbiotic connection to AI, I always think of this cold, emotionless sort of thing that we will become. Is that a bad way to look at it?",Joe Rogan,00, 50,58
"I don’t think, that’s not how it would be. Like I said you already are symbiotic with AI or computers.",Elon Musk,00, 51,18
"Phones, computers, laptops.",Joe Rogan,00, 51,26
"Yeah, there’s quite a bit of AI going on, artificial neural nets. Increasingly, neural nets are sort of taking over from regular programming more and more. So you are connected, if you use Google Voice or Alexa or one of those things, it’s using a neural net to decode your speech and try understand what you were saying.",Elon Musk,00, 51,28
"If you’re trying to do image recognition or improve the quality of photograph, the neural nets the best way to do that. So you are already sort of a cybernetic symbiote. Like I said, it’s just a question of your data rate. The communication speed between your phone and your brain is slow.",Elon Musk,00, 51,57
When do you think you’re going to do it? How long will you wait? Once it starts becoming available?,Joe Rogan,00, 52,26
"Yeah, if it works I’ll do it. Sure.",Elon Musk,00, 52,35
Right away.,Joe Rogan,00, 52,38
I mean let’s make sure it works.,Elon Musk,00, 52,39
How do we make sure it works? We try it on prisoners? What do you do? Take rapists? Cut holes in their head?,Joe Rogan,00, 52,41
"No, like I said, if somebody has got a serious brain injury and people that have very severe brain injuries and then you can fix those brain injuries. Then you prove out that it works and [inaudible 00:53:06] expand and make more and more brain injuries, solve more and more. At a certain age we all are going to get Alzheimer’s or we’re all going to get senile. Then moms forget the names of their kids and that kind of thing.",Elon Musk,00, 52,49
"It’s like you said, okay, well this would allow you to remember your names of your kids and have a normal, a much more normal life where you were able to function much later in life. So I think essentially almost everyone would find a need at some point if you get old enough to use Neuralink. Then it’s like, okay, so we can improve the functionality and improve the communication speed. So then you will not have to use your thumbs to communicate with the computer.",Elon Musk,00, 53,20
Do you ever sit down and extrapolate? Do you ever sit down and think about all the different iterations of this and what this eventually leads to?,Joe Rogan,00, 54,02
"Yeah, sure. I Think about it a lot. Like I said, this is not something that’s going to sneak up on you. Getting FDA approval for this stuff is not overnight. I don’t know, we probably have to be on version 10 or something before it would realistically be a human AI symbiote situation. You’ll see it coming.",Elon Musk,00, 54,14
"You see it coming, but when do you think it’s going to be? When you’re alone, if you have free time, I don’t know if you have free time, but if you just sit down and think about this iteration, the next onward, keep going and you drag it out with improvements along the way and leaps and bounds and technological innovations. Where do you see it? What are we going to be?",Joe Rogan,00, 54,53
Like when?,Elon Musk,00, 55,19
"20, 25 years from now? What are we going to be?",Joe Rogan,00, 55,20
"Well, assuming civilization is still around, it’s looking fragile right now. I think we could have, in 25 years probably I would think there could be a whole brain interface.",Elon Musk,00, 55,30
A whole brain interface?,Joe Rogan,00, 55,47
Something pretty close to that. Yeah.,Elon Musk,00, 55,51
What do you mean by whole brain interface?,Joe Rogan,00, 55,52
Almost all the neurons are connected to the sort of AI extension of yourself. If you want.,Elon Musk,00, 56,00
AI extension of yourself.,Joe Rogan,00, 56,16
Yeah.,Elon Musk,00, 56,18
"What does that mean to you, when you say AI Extension of yourself?",Joe Rogan,00, 56,19
"Well, like I said, you already have a computer extension of yourself and your phone and computers and stuff. So, and now online it’s like somebody dies, there’s like an online ghost that they’re still, their online stuff is still alive.",Elon Musk,00, 56,25
That’s a good way to put it. It is weird when you read someone’s tweets after they’re dead.,Joe Rogan,00, 56,41
Yeah.,Elon Musk,00, 56,45
Yeah.,Joe Rogan,00, 56,46
"Instagram and their stories and yeah, whatever Facebook and stuff.",Elon Musk,00, 56,47
That’s a great way to put it. It’s like an online ghost. That’s very accurate.,Joe Rogan,00, 56,51
"Yeah. So it would just be that more of you would be in the cloud, I guess, than in your body or more of you.",Elon Musk,00, 56,56
"Whoa. Now, when you say civilization’s fragile, do you mean because of this COVID-19 shit that’s going on right now?",Joe Rogan,00, 57,13
What’s that? I never heard of it.,Elon Musk,00, 57,21
"It’s this thing, it’s like some people just get a cough.",Joe Rogan,00, 57,22
I have no idea what you’re talking about.,Elon Musk,00, 57,25
Other people it gets much worse.,Joe Rogan,00, 57,26
"Sure. Well, yeah. I mean this certainly has taken over the mind space of the world to a degree that is quite shocking.",Elon Musk,00, 57,29
"Yeah. Well, out of nowhere. That’s what’s crazy. It’s like you go back to November, nothing. Now here we are, December, January, February, March, April, May, six months. Totally different world. So from nothing to, everything’s locked down. There’s so much conflicting information and conflicting opinions about how to proceed. What has happened, you find things where there was a meat packing plant, I believe in Missouri where 300 plus people were asymptomatic, tested positive or asymptomatic.",Joe Rogan,00, 57,45
"Then in other places it just ravages entire communities and kills people and it’s so weird. It almost appears, if you didn’t know any better, you’d be like, what? It seems like there’s a bunch of different viruses. It doesn’t seem like it’s the same thing or has a bunch of different reactions to the biological variety of people.",Joe Rogan,00, 58,22
"Yeah, I mean I kind of saw this whole thing play out in China before it played out in the US. So it’s kind of like watching the same movie again, but in English. Yeah, I think the mortality rate is much less than what say the World Health Organization said it was. It’s much, much less. It’s like probably at least order of magnitude less.",Elon Musk,00, 58,45
"Well, it seems to be very deadly to very specific kinds of people and people with specific problems.",Joe Rogan,00, 59,24
"Yeah. I mean, you can look at the mortality statistics by age and whether they have comorbidities, like do they have basically existing conditions and by age. If you’re below 60 and have no serious health issues, the probability of death is extremely low. It’s not zero, but it’s extremely low.",Elon Musk,00, 59,33
"They didn’t think that this was the case though, when they first started to lock down the country. Do you think that it’s a situation where once they’ve proceeded in a certain way, it’s very difficult to correct course?",Joe Rogan, 01,00,00
It’s almost like people really wanted a panic. It’s quite crazy.,Elon Musk, 01,00,18
"But in some places a panic is deserved, right? Like if you’re in the ICU in Manhattan and people are dying left and right and everyone’s on intubators. It seems like when you see all these people on ventilators and so many of them are dying and you see these nurses are dying and doctors are getting sick. In some places that fear is justified, but then in other places you’re reading these stories about hospitals that are essentially half empty. They’re having to furlough doctors and nurses because there’s no work for them.",Joe Rogan, 01,00,24
Most of the hospitals in the United States right now are half empty. In some cases they’re at 30% capacity.,Elon Musk, 01,01,01
Is this because they’ve decided to forgo elective procedures and normal things that people would have to go to the hospital for?,Joe Rogan, 01,01,07
"Yes. I mean, we’re not talking about just some of these elective procedures are quite important. Like you have a bad heart.",Elon Musk, 01,01,16
"Gall bladder disease, yeah, sure.",Joe Rogan, 01,01,24
"You need a triple bypass. It’s sort of elective, but if you don’t get it done in time, you’re going to die.",Elon Musk, 01,01,25
"Yeah, elective is a weird word.",Joe Rogan, 01,01,33
"Elective. It’s not like, this isn’t like plastic surgery.",Elon Musk, 01,01,35
"Right, right.",Joe Rogan, 01,01,40
"It’s more like my hip is, I’m in extreme pain because my hip’s blown out or my knee and I don’t want to go to the hospital. I can’t go to the hospital. People are in extreme pain, people that need a kidney, people that have quite serious issues that are choosing not to go out of fear. So I think it’s a problem that’s not good.",Elon Musk, 01,01,42
It seems.,Joe Rogan, 01,02,03
So I think it’s a problem that’s not good.,Elon Musk, 01,02,03
It seems like the state of public perception is shifting.,Joe Rogan, 01,02,03
It is.,Elon Musk, 01,02,06
"Like people are taking some deep breaths and relaxing and because of the statistics, essentially across the board it’s being recognized that it’s not as fatal as we thought it was. Still dangerous, still worse than a flu, but not as bad as we thought or we feared it could be.",Joe Rogan, 01,02,07
"Objectively the mortality is much lower. At least a factor of 10, maybe a factor of 50 lower than initially thought.",Elon Musk, 01,02,28
"Do you think that the current way we’re handling this, the social distancing, the mask, the locking down, does this make sense? Is it adequate? Or do you think that we should move back to at least closer to where we used to be?",Joe Rogan, 01,02,41
"Well, I think proper hygiene is a good thing no matter what.",Elon Musk, 01,03,00
Yes.,Joe Rogan, 01,03,03
"Wash your hands and if you’re coughing, stay at home or wear a mask because it’s not good. They do that in Japan. That’s normal. If you’re ill you wear a face mask and you don’t cough on people. I think that would be a great thing to adopt in general throughout the world. Washing your hands is also good.",Elon Musk, 01,03,03
Well there’s a speculation why men get it more than women because men are disgusting. We don’t wash our hands as much.,Joe Rogan, 01,03,27
Men are disgusting it’s true. It’s bad.,Elon Musk, 01,03,33
"It’s true, I admit it, we are all men in this room. We’re all gross.",Joe Rogan, 01,03,33
Yeah. Just go to the restroom you can see it’s horrible.,Elon Musk, 01,03,36
"Yes we’re gross. My nine year old daughter yells at me, she goes, “Did you wash your hands?” She makes me go back and wash my hands. She’s right. Nine years old. If I had a nine year old boy do you think he would care? He wouldn’t give a fuck if I washed my hands.",Joe Rogan, 01,03,38
True. And I think that there’s definitely some silver linings here in improved hygiene and-,Elon Musk, 01,03,52
And awareness of potential.,Joe Rogan, 01,04,02
"Yes. I think this has shaken up the system. the system is somewhat moribund with lot of layers of bureaucracy and I think that we’ve cut through some of that bureaucracy. And at some point there probably will be a pandemic with a high mortality rate. Debate about like what’s high. but I mean something that’s killing a lot of 20 year olds, let’s say. Like if you had Ebola type of mortality.",Elon Musk, 01,04,03
"Spanish flu, something that attacks the immune systems of healthy people.",Joe Rogan, 01,04,35
"Yeah. Like killing large numbers of young healthy people, to find that as like a high mortality than that. This is at least practice for something like that. And I think there’s this, given it’s just a matter, that there will be eventually some such pandemic.",Elon Musk, 01,04,38
"Do you think that in a sense, the one good thing that we might get out of this is the realization that this is a potential reality? That we got lucky in the sense?, I mean people that didn’t get lucky and died, of course I’m not disrespecting their death and their loss, but I’m saying overall as a culture, as a community, as a human race, as a community, this is not as bad as it could have been. This is a good dry run for us to appreciate that we need far more resources dedicated towards understanding these diseases, what to do in the case of pandemic, and much more money that goes to funding treatments and some preventative measures.",Joe Rogan, 01,05,05
"Yeah, absolutely. And I think there’s a good chance, it’s highly likely, I think, coming out of this that we will develop vaccines that we didn’t have before for coronaviruses, other viruses, and possibly cures for these. And our understanding of viruses of this nature has improved dramatically because of the attention that it’s received. So there’s definitely a lot of silver linings here.",Elon Musk, 01,05,48
"Potentially, if we act correctly.",Joe Rogan, 01,06,24
Yeah. I think there will be a massive lining of here no matter what. Hopefully we can be more of a silver lining than less.,Elon Musk, 01,06,26
Yeah.,Joe Rogan, 01,06,35
"So yeah, this is just kind of like a practice run for something that might in the future have a serious, like a really high mortality rate and we kind of got to go through this without it being something that kills vast numbers of young healthy people.",Elon Musk, 01,06,38
"Yeah. When you made a series of tweets recently, I don’t remember the exact wording, but essentially you were saying, “Free America now.” Like, let’s open it back-",Joe Rogan, 01,06,59
That is the exact wording.,Elon Musk, 01,07,09
"That is it? Thank you. How much do you pay attention to the response to that stuff and what was the response like? Did anybody go, “Hey man, what the fuck you doing?” Did anybody pull you aside?",Joe Rogan, 01,07,10
"Yeah, of course.",Elon Musk, 01,07,22
Who does that? Who gets to do that to you?,Joe Rogan, 01,07,24
"Well, I mean, I certainly get that. There’s no shortage of negative feedback on Twitter. I get it.",Elon Musk, 01,07,28
"Oh yeah. Twitter. Yeah, but I don’t read that. Do you read it.",Joe Rogan, 01,07,33
It’s a war zone.,Elon Musk, 01,07,37
"You do sometimes though, right? You do read it?",Joe Rogan, 01,07,38
"Yeah. I mean, I scroll through the comments. Like I said, it’s a meme war zone.",Elon Musk, 01,07,40
Yeah.,Joe Rogan, 01,07,45
"I mean, people knife you good and thorough.",Elon Musk, 01,07,45
"It’s something I enjoy about it. Something about the freedom of expression that comes from all these people that do attack you. It’s like, if there was no vulnerability whatsoever, they wouldn’t attack you. And it’s like there’s something about these millions and millions of perspectives that you have to appreciate, even if it comes your way, even if the shit storm hits you in the face.",Joe Rogan, 01,07,47
"You got to appreciate, “Wow. How amazing is it that all these people do have the ability to express themselves?” I mean, you don’t necessarily want to be there when the shit hits you. You might want to get out of the way in anticipation of the shit storm, but the fact that so many people have the ability to reach out. And I think it’s in a lot of ways it’s a, I don’t want to say a misused resource, but it’s like giving monkeys guns.",Joe Rogan, 01,08,23
"They just start, “Da, da, da.” T`hey start gunning down things that are in front of them without any realization of what they’re doing. They have a rock, they see a window, they throw it. “Whoo, look at that. I got Elon mad. Look at that. This guy got mad at me. I fucking took this person down on Twitter. I got this lady fired. Oh, the fucking business is going under because of Twitter Wars.” It seems like there’s something about it that’s this new found thing that, I don’t want to say abuse, but just, I want to say that it’s almost like you hit the button and things blow up. You’re like, “Wow, what else can we blow up?”",Joe Rogan, 01,08,47
"Sure. I mean, I’ve been in the Twitter war zone for, for a while here, so.",Elon Musk, 01,09,28
Twitter war zone.,Joe Rogan, 01,09,34
And it takes a lot to phase me at this point.,Elon Musk, 01,09,36
"Yeah, that’s good too. Right? Like you develop a thick skin.",Joe Rogan, 01,09,39
"Yeah. You can’t take it personally. A lot of these people don’t actually know you. It’s like if you’re fighting a war and there’s like some opposing soldier that shoots at you, it’s not like they hate you. They don’t even know you.",Elon Musk, 01,09,44
Right.,Joe Rogan, 01,10,00
Yeah.,Elon Musk, 01,10,00
Yeah.,Joe Rogan, 01,10,01
"So just think of it like that. Like they have fire and bullets, whatever. But they don’t know you, so don’t take it personally.",Elon Musk, 01,10,01
"There’s something interesting about it too. When you write something in 280 characters and they write something, it’s such a crude way. It’s like someone sending opposing smoke signals. Your smoke signals. It’s so crude. And especially when you’re talking about something like Neuralink. You’re talking about some future potential where you’re going to be able to express pure thoughts that get conveyed through some sort of a universal language with no ambiguity whatsoever versus tweets.",Joe Rogan, 01,10,08
"Well, there will always be some ambiguity, but tweets, it’s hard. But maybe there should be like a sarcasm flag or something.",Elon Musk, 01,10,45
"Right, right.",Joe Rogan, 01,10,54
Or a “just kidding” or-,Elon Musk, 01,10,55
"It seems like it would take away some of the fun from people that know it’s sarcasm. Like if everybody knew that The Onion wasn’t, if you sent people articles. It was something about someone getting angry and an Onion article.",Joe Rogan, 01,10,57
"Wow, that’s amazing.",Elon Musk, 01,11,12
You know what I mean? Where they don’t realize what it is. There’s something fun about that for everybody else.,Joe Rogan, 01,11,13
"Yeah, I think it’s pretty great. It might be the best news source.",Elon Musk, 01,11,18
"Do you know who Titania McGrath is? It’s Andrew Boyle. He’s a British fellow. Brilliant guy who’s been on the podcast before and he has this a fictional character, this a pseudonym Titania McGrath who’s like the ultimate social justice warrior.",Joe Rogan, 01,11,23
"Is this, like, a female avatar.",Elon Musk, 01,11,42
Yes.,Joe Rogan, 01,11,45
"Oh, okay.",Elon Musk, 01,11,45
"A female avatar that’s actually a computer conglomeration of a bunch of faces. It’s not really one person. So, one person can’t be a victim and be angry, but he’s sort of combined these faces to make this one perfect social justice warrior. But I recognized it early on before I met him. That this was parody. This was just fun. And then I love reading the people that don’t recognize that. They get angry. And there’s a lot of people that just get really furious. There’s some fun to that. There’s some fun to the not picking up on the true nature of the signal.",Joe Rogan, 01,11,45
I find Twitter quite engaging.,Elon Musk, 01,12,29
How do you have the time?,Joe Rogan, 01,12,31
"Well, I mean like five minutes every couple of hours type thing. It’s not like I’m sitting on it all day.",Elon Musk, 01,12,34
"But even five minutes every couple hours, if those are bad five minutes, they might be bouncing around your head for the next 30.",Joe Rogan, 01,12,40
"Yeah, you have to, like I said, take a certain amount of distance from… You read this and be like, “Okay, it’s bullets being fired by an opposing army.” Like I said, it’s not like they know you. Don’t take it personally.",Elon Musk, 01,12,48
Did you feel the same way when CNN had that stupid shit about ventilators with you? I found that both confusing and-,Joe Rogan, 01,13,05
Yeah. That was annoying.,Elon Musk, 01,13,15
It was annoying.,Joe Rogan, 01,13,16
It was wrong.,Elon Musk, 01,13,17
What is also annoying as a person who reads CNN and wants to think of them as a responsible conveyor of the facts. I would like to think that-,Joe Rogan, 01,13,18
"Well, yeah. I don’t think CNN is that.",Elon Musk, 01,13,26
I think used to be used to be.,Joe Rogan, 01,13,26
"Used to be, yeah. What do you think’s the best source of just information out there?",Elon Musk, 01,13,28
That’s a good question.,Joe Rogan, 01,13,38
"Let’s say you’re just the average citizen trying to just get the facts, figure out what’s going on. How to live your life and just looking for what’s going on in the world. It’s hard to find something that’s good.",Elon Musk, 01,13,40
Yeah.,Joe Rogan, 01,14,01
"Not trying to push some partisan angle, not trying to not doing sloppy reporting, and just aim it for the most number of clicks and trying to maximize ad dollars and that kind of thing. You’re just trying to figure out what’s going on. It’s like, I’m hard pressed. Where do you go?",Elon Musk, 01,14,03
"I don’t know. I don’t think there’s any pure form. My favorite places are the New York times and the LA times and I don’t trust them a hundred percent. Because also, there’s individuals that are writing these stories. And that’s seems to be the problems, these individual biases and these individual, there’s purposely distorted perceptions, and then there’s ignorantly reported facts, and there’s so many variables. And you got to put everything through this filter of, “Where’s this person coming from? Did they have political biases? Did they have social biases? Are they upset because of their own shortcomings? And are they projecting this into the story?” It’s so hard.",Joe Rogan, 01,14,21
Yeah. I think maybe just trying to find individual reporters that you think are good and kind of following them as opposed to publication.,Elon Musk, 01,15,06
I go with whatever Matt Taibbi says.,Joe Rogan, 01,15,13
Okay.,Elon Musk, 01,15,15
I trust him more than anybody.,Joe Rogan, 01,15,16
All right.,Elon Musk, 01,15,17
"Matt Taibbi is onto something. As far as investigative reporters in particular, the way he reported the savings and loan crisis, the way he reports everything. I just listened to him above most above most. He’s my go to guy.",Joe Rogan, 01,15,18
All right. I’ll check it out.,Elon Musk, 01,15,33
"Oh, his Rolling Stone articles are amazing. His stuff on the savings and loan crisis, it’s just like, “What in the fuck?” And he’s not an economist by any stretch of the imagination. So he had to really deeply embedded himself in that world to try to understand it and to be able to report on it. And with also with a humorous flare.",Joe Rogan, 01,15,34
Now that’s nice.,Elon Musk, 01,15,52
Yeah.,Joe Rogan, 01,15,53
Yeah.,Elon Musk, 01,15,56
"There’s not that many of them. It’s hard. And not a location where like, we are no bullshit. Wearenobullshit.com like the one place where you can say, “This is what we know, this is what we don’t know. This is what we think.” Not, “This person’s wrong and here’s why.” Like, ah, God damn it. I can’t. You don’t know. There’s a lot of stuff that is open to interpretation.",Joe Rogan, 01,15,56
"This particular coronavirus issue that we’re dealing with right now seems to be a great illuminator of that very fact. Is that there’s so much data. And there’s so much that’s open to interpret. There’s so many thing… because it’s all happening in real time. Right? And particularly right now in California, we’re in stage two Friday, two days from now. Stage two. Retail stores opening up.",Joe Rogan, 01,16,24
"Things are changing. Like, no one knows the correct process that needs to take place to save the most amount of lives, but yet ensure that our culture and that our economy survives. It’s a lot of speculation and guessing. But if you go to certain places, they’ll tell you, “We know why, and we know this, and we know…” Oh, it’s hard.",Joe Rogan, 01,16,49
"Yeah. I mean, in general I think we should be concerned about anything that’s a massive infringement on us. Civil liberties.",Elon Musk, 01,17,15
Yes.,Joe Rogan, 01,17,26
